region,collection_week,group,counts,location_counts,percent
North America,2020-09-28,B.1.1.207,7,526,0.013307984790874524
North America,2020-09-28,B.1.1.222,1,526,0.0019011406844106464
North America,2020-09-28,B.1.1.231,1,526,0.0019011406844106464
North America,2020-09-28,B.1.1.251,1,526,0.0019011406844106464
North America,2020-09-28,B.1.1.265,8,526,0.015209125475285171
North America,2020-09-28,B.1.1.291,1,526,0.0019011406844106464
North America,2020-09-28,B.1.1.304,1,526,0.0019011406844106464
North America,2020-09-28,B.1.1.73,13,526,0.024714828897338403
North America,2020-09-28,B.1.139,6,526,0.011406844106463879
North America,2020-09-28,B.1.188,1,526,0.0019011406844106464
North America,2020-09-28,B.1.189,2,526,0.0038022813688212928
North America,2020-09-28,B.1.196,1,526,0.0019011406844106464
North America,2020-09-28,B.1.2,193,526,0.3669201520912547
North America,2020-09-28,B.1.216,1,526,0.0019011406844106464
North America,2020-09-28,B.1.228,2,526,0.0038022813688212928
North America,2020-09-28,B.1.230,1,526,0.0019011406844106464
North America,2020-09-28,B.1.234,7,526,0.013307984790874524
North America,2020-09-28,B.1.240,38,526,0.07224334600760456
North America,2020-09-28,B.1.241,2,526,0.0038022813688212928
North America,2020-09-28,B.1.243,12,526,0.022813688212927757
North America,2020-09-28,B.1.247,1,526,0.0019011406844106464
North America,2020-09-28,B.1.280,16,526,0.030418250950570342
North America,2020-09-28,B.1.298,1,526,0.0019011406844106464
North America,2020-09-28,B.1.3,19,526,0.03612167300380228
North America,2020-09-28,B.1.302,1,526,0.0019011406844106464
North America,2020-09-28,B.1.305,3,526,0.005703422053231939
North America,2020-09-28,B.1.311,4,526,0.0076045627376425855
North America,2020-09-28,B.1.317,1,526,0.0019011406844106464
North America,2020-09-28,B.1.318,4,526,0.0076045627376425855
North America,2020-09-28,B.1.324,1,526,0.0019011406844106464
North America,2020-09-28,B.1.340,2,526,0.0038022813688212928
North America,2020-09-28,B.1.346,1,526,0.0019011406844106464
North America,2020-09-28,B.1.349,2,526,0.0038022813688212928
North America,2020-09-28,B.1.361,35,526,0.06653992395437262
North America,2020-09-28,B.1.365,1,526,0.0019011406844106464
North America,2020-09-28,B.1.369,34,526,0.06463878326996197
North America,2020-09-28,B.1.370,6,526,0.011406844106463879
North America,2020-09-28,B.1.5,7,526,0.013307984790874524
North America,2020-10-05,B.1,44,291,0.15120274914089346
North America,2020-10-05,B.1.1,13,291,0.044673539518900345
North America,2020-10-05,B.1.1.1,1,291,0.003436426116838488
North America,2020-10-05,B.1.1.135,5,291,0.01718213058419244
North America,2020-10-05,B.1.1.139,1,291,0.003436426116838488
North America,2020-10-05,B.1.1.192,1,291,0.003436426116838488
North America,2020-10-05,B.1.1.207,1,291,0.003436426116838488
North America,2020-10-05,B.1.1.228,1,291,0.003436426116838488
North America,2020-10-05,B.1.1.239,1,291,0.003436426116838488
North America,2020-10-05,B.1.1.291,1,291,0.003436426116838488
North America,2020-10-05,B.1.1.73,7,291,0.024054982817869417
North America,2020-10-05,B.1.110,2,291,0.006872852233676976
North America,2020-10-05,B.1.139,3,291,0.010309278350515464
North America,2020-10-05,B.1.189,1,291,0.003436426116838488
North America,2020-10-05,B.1.2,100,291,0.3436426116838488
North America,2020-10-05,B.1.206,1,291,0.003436426116838488
North America,2020-10-05,B.1.230,2,291,0.006872852233676976
North America,2020-10-05,B.1.234,1,291,0.003436426116838488
North America,2020-10-05,B.1.240,11,291,0.037800687285223365
North America,2020-10-05,B.1.241,1,291,0.003436426116838488
North America,2020-10-05,B.1.243,12,291,0.041237113402061855
North America,2020-10-05,B.1.280,4,291,0.013745704467353952
North America,2020-10-05,B.1.3,2,291,0.006872852233676976
North America,2020-10-05,B.1.305,13,291,0.044673539518900345
