lineage,sum_counts,Africa count,Asia count,Europe count,North America count,Oceania count,South America count,Africa freq,Asia freq,Europe freq,North America freq,Oceania freq,South America freq
B.1.577,148,0,0,0,148,0,0,0.0,0.0,0.0,0.30885452534485275,0.0,0.0
B.1.1.464,146,0,0,4,142,0,0,0.0,0.0,0.07836990595611285,0.29633339593898034,0.0,0.0
D.3,144,0,0,0,0,144,0,0.0,0.0,0.0,0.0,1.1352885525070955,0.0
B.40,142,1,4,39,71,27,0,0.11135857461024498,0.19230769230769232,0.7641065830721003,0.14816669796949017,0.21286660359508044,0.0
B.1.1.434,140,0,0,0,140,0,0,0.0,0.0,0.0,0.29215968613702287,0.0,0.0
B.1.305,138,0,0,0,138,0,0,0.0,0.0,0.0,0.2879859763350654,0.0,0.0
B.1.609,137,0,0,1,136,0,0,0.0,0.0,0.01959247648902821,0.2838122665331079,0.0,0.0
B.1.332,136,0,0,0,136,0,0,0.0,0.0,0.0,0.2838122665331079,0.0,0.0
B.1.1.316,131,0,0,0,131,0,0,0.0,0.0,0.0,0.2733779920282143,0.0,0.0
B.1.112,130,0,0,0,130,0,0,0.0,0.0,0.0,0.27129113712723557,0.0,0.0
C.36,124,120,0,1,3,0,0,13.3630289532294,0.0,0.01959247648902821,0.006260564702936205,0.0,0.0
B.1.561,124,0,0,0,124,0,0,0.0,0.0,0.0,0.25877000772136316,0.0,0.0
B.1.1.219,119,0,0,119,0,0,0,0.0,0.0,2.3315047021943576,0.0,0.0,0.0
B.1.396,119,0,0,0,119,0,0,0.0,0.0,0.0,0.24833573321646946,0.0,0.0
B.1.1.416,119,0,0,0,118,1,0,0.0,0.0,0.0,0.24624887831549072,0.007883948281299274,0.0
B.1.177.44,117,0,0,116,1,0,0,0.0,0.0,2.272727272727273,0.002086854900978735,0.0,0.0
B.1.453,115,0,0,0,115,0,0,0.0,0.0,0.0,0.23998831361255452,0.0,0.0
B.1.1.186,113,0,0,0,113,0,0,0.0,0.0,0.0,0.23581460381059705,0.0,0.0
